filename;nbNodes;initCost;finalCost;duration;param
centSommets.txt;100;990.0;990.0;0.04685330390930176;0.01
centSommets.txt;100;1009.0;1009.0;0.046189069747924805;0.01
centSommets.txt;100;1000.0;1000.0;0.04599285125732422;0.01
centSommets.txt;100;957.0;957.0;0.046176910400390625;0.01
centSommets.txt;100;1006.0;1006.0;0.046484947204589844;0.01
centSommets.txt;100;1007.0;997.0;0.07812094688415527;0.01
centSommets.txt;100;1028.0;1028.0;0.0460050106048584;0.01
centSommets.txt;100;976.0;968.0;0.07805299758911133;0.01
centSommets.txt;100;960.0;960.0;0.046192169189453125;0.01
centSommets.txt;100;1014.0;1014.0;0.046231985092163086;0.01
centSommets.txt;100;1000.0;1000.0;0.046395063400268555;0.01
centSommets.txt;100;970.0;970.0;0.04622006416320801;0.01
centSommets.txt;100;1020.0;1020.0;0.046217918395996094;0.01
centSommets.txt;100;986.0;986.0;0.04627084732055664;0.01
centSommets.txt;100;976.0;960.0;0.07801389694213867;0.01
centSommets.txt;100;999.0;999.0;0.04628396034240723;0.01
centSommets.txt;100;1034.0;1024.0;0.07808804512023926;0.01
centSommets.txt;100;1033.0;1033.0;0.04633688926696777;0.01
centSommets.txt;100;963.0;963.0;0.04600191116333008;0.01
centSommets.txt;100;1022.0;1022.0;0.04614090919494629;0.01
centSommets.txt;100;1044.0;1033.0;0.07800793647766113;0.01
centSommets.txt;100;1020.0;1020.0;0.04606914520263672;0.01
centSommets.txt;100;957.0;957.0;0.04604792594909668;0.01
centSommets.txt;100;990.0;990.0;0.04589533805847168;0.01
centSommets.txt;100;1004.0;1004.0;0.04601907730102539;0.01
centSommets.txt;100;1000.0;991.0;0.07781720161437988;0.01
centSommets.txt;100;1026.0;1026.0;0.04602980613708496;0.01
centSommets.txt;100;1013.0;1013.0;0.04627490043640137;0.01
centSommets.txt;100;1018.0;1018.0;0.0462799072265625;0.01
centSommets.txt;100;996.0;996.0;0.04663276672363281;0.01
centSommets.txt;100;996.0;996.0;0.046163082122802734;0.01
centSommets.txt;100;977.0;977.0;0.04600930213928223;0.01
centSommets.txt;100;993.0;993.0;0.046029090881347656;0.01
centSommets.txt;100;1000.0;1000.0;0.045892953872680664;0.01
centSommets.txt;100;1027.0;1027.0;0.04579472541809082;0.01
centSommets.txt;100;991.0;991.0;0.04629993438720703;0.01
centSommets.txt;100;980.0;980.0;0.046180009841918945;0.01
centSommets.txt;100;1001.0;991.0;0.07821416854858398;0.01
centSommets.txt;100;974.0;974.0;0.04591679573059082;0.01
centSommets.txt;100;1019.0;1019.0;0.04622483253479004;0.01
centSommets.txt;100;968.0;968.0;0.04616093635559082;0.01
centSommets.txt;100;1004.0;1004.0;0.04623007774353027;0.01
centSommets.txt;100;1037.0;1037.0;0.04620218276977539;0.01
centSommets.txt;100;1000.0;988.0;0.07790422439575195;0.01
centSommets.txt;100;993.0;993.0;0.04599404335021973;0.01
centSommets.txt;100;1014.0;1014.0;0.04621601104736328;0.01
centSommets.txt;100;984.0;984.0;0.046074867248535156;0.01
centSommets.txt;100;986.0;986.0;0.046237945556640625;0.01
centSommets.txt;100;1007.0;1007.0;0.04610896110534668;0.01
centSommets.txt;100;973.0;973.0;0.04609417915344238;0.01
centSommets.txt;100;992.0;992.0;0.04650282859802246;0.01
centSommets.txt;100;1002.0;1002.0;0.046189069747924805;0.01
centSommets.txt;100;983.0;983.0;0.046102046966552734;0.01
centSommets.txt;100;1013.0;1013.0;0.04633903503417969;0.01
centSommets.txt;100;1008.0;1008.0;0.046331167221069336;0.01
centSommets.txt;100;993.0;993.0;0.045928955078125;0.01
centSommets.txt;100;1026.0;1026.0;0.04614114761352539;0.01
centSommets.txt;100;957.0;957.0;0.04616880416870117;0.01
centSommets.txt;100;1000.0;1000.0;0.04599809646606445;0.01
centSommets.txt;100;1016.0;1016.0;0.046006202697753906;0.01
centSommets.txt;100;987.0;987.0;0.046118736267089844;0.01
centSommets.txt;100;966.0;966.0;0.046109914779663086;0.01
centSommets.txt;100;1007.0;1007.0;0.046111345291137695;0.01
centSommets.txt;100;1005.0;1005.0;0.045948028564453125;0.01
centSommets.txt;100;997.0;997.0;0.04620218276977539;0.01
centSommets.txt;100;972.0;972.0;0.04624509811401367;0.01
centSommets.txt;100;975.0;975.0;0.04616498947143555;0.01
centSommets.txt;100;1028.0;1028.0;0.046473026275634766;0.01
centSommets.txt;100;994.0;994.0;0.04603886604309082;0.01
centSommets.txt;100;1017.0;1017.0;0.0460658073425293;0.01
centSommets.txt;100;1024.0;1024.0;0.04615497589111328;0.01
centSommets.txt;100;1034.0;1020.0;0.07856369018554688;0.01
centSommets.txt;100;1008.0;1008.0;0.04611682891845703;0.01
centSommets.txt;100;980.0;980.0;0.04655599594116211;0.01
centSommets.txt;100;1031.0;1031.0;0.04603719711303711;0.01
centSommets.txt;100;986.0;981.0;0.07802796363830566;0.01
centSommets.txt;100;998.0;998.0;0.04603290557861328;0.01
centSommets.txt;100;988.0;988.0;0.04615974426269531;0.01
centSommets.txt;100;998.0;998.0;0.046045780181884766;0.01
centSommets.txt;100;1006.0;1006.0;0.04610896110534668;0.01
centSommets.txt;100;989.0;989.0;0.04618501663208008;0.01
centSommets.txt;100;990.0;990.0;0.04602336883544922;0.01
centSommets.txt;100;999.0;999.0;0.04619193077087402;0.01
centSommets.txt;100;1005.0;1005.0;0.046141862869262695;0.01
centSommets.txt;100;949.0;949.0;0.04607534408569336;0.01
centSommets.txt;100;999.0;999.0;0.04619097709655762;0.01
centSommets.txt;100;939.0;939.0;0.04631996154785156;0.01
centSommets.txt;100;1029.0;1016.0;0.07806396484375;0.01
centSommets.txt;100;1006.0;1006.0;0.04616594314575195;0.01
centSommets.txt;100;1028.0;1020.0;0.0781397819519043;0.01
centSommets.txt;100;994.0;985.0;0.07817888259887695;0.01
centSommets.txt;100;1013.0;1013.0;0.04604005813598633;0.01
centSommets.txt;100;1026.0;1026.0;0.04614400863647461;0.01
centSommets.txt;100;1010.0;1010.0;0.04619288444519043;0.01
centSommets.txt;100;1033.0;1033.0;0.046124935150146484;0.01
centSommets.txt;100;985.0;985.0;0.04589533805847168;0.01
centSommets.txt;100;979.0;979.0;0.046025991439819336;0.01
centSommets.txt;100;1003.0;1003.0;0.046124935150146484;0.01
centSommets.txt;100;1001.0;1001.0;0.04622197151184082;0.01
centSommets.txt;100;987.0;978.0;0.07795000076293945;0.01
centSommets.txt;100;1010.0;858.0;0.9369451999664307;0.02
centSommets.txt;100;1023.0;1023.0;0.04616212844848633;0.02
centSommets.txt;100;999.0;889.0;0.7457740306854248;0.02
centSommets.txt;100;1013.0;1013.0;0.04604315757751465;0.02
centSommets.txt;100;1006.0;1006.0;0.045678138732910156;0.02
centSommets.txt;100;996.0;996.0;0.04575920104980469;0.02
centSommets.txt;100;1039.0;1039.0;0.045603036880493164;0.02
centSommets.txt;100;956.0;956.0;0.04573798179626465;0.02
centSommets.txt;100;1017.0;853.0;0.9705989360809326;0.02
centSommets.txt;100;1030.0;862.0;1.006324052810669;0.02
centSommets.txt;100;975.0;975.0;0.04605579376220703;0.02
centSommets.txt;100;1040.0;874.0;0.9378418922424316;0.02
centSommets.txt;100;991.0;991.0;0.045857906341552734;0.02
centSommets.txt;100;973.0;973.0;0.046193838119506836;0.02
centSommets.txt;100;1017.0;918.0;0.5249819755554199;0.02
centSommets.txt;100;1027.0;894.0;0.5233547687530518;0.02
